timestamp,event_type,session_id,outcome,latency_ms
1767541126.9304438,scan_attempt,unknown,tampering_detected_decrypt_fail,0
1767541134.4461257,session_created,kTZDnH1Ev53X8oyPUxGoVmprosR10r_u,success,0
1767541141.0512135,scan_attempt,kTZDnH1Ev53X8oyPUxGoVmprosR10r_u,approved_by_device,0
1767541141.6943164,login_completion,kTZDnH1Ev53X8oyPUxGoVmprosR10r_u,success,7693
1767541183.904324,scan_attempt,unknown,tampering_detected_decrypt_fail,0
1767541183.9047985,scan_attempt,unknown,tampering_detected_decrypt_fail,0
1767611858.883978,session_created,9H0kpMG8AWSnfxCf9RtvhYO5sRD3JgzP,success,0
1767618890.0866518,session_created,mkjU388oCi7Zo9aRT2_1acPeUPhIul6F,success,0
1767638570.4938722,session_created,Btvz6GsX0v_Lc333DOeQwyHaOamj8uLd,success,0
1767638570.5003035,scan_attempt,Btvz6GsX0v_Lc333DOeQwyHaOamj8uLd,approved_by_device,0
1767638570.5048544,login_completion,Btvz6GsX0v_Lc333DOeQwyHaOamj8uLd,success,504
1767638570.5480742,session_created,AOuT-qUmXU2TsUNvYaJvcB1N_1fwU16Y,success,0
1767638570.5540733,scan_attempt,AOuT-qUmXU2TsUNvYaJvcB1N_1fwU16Y,approved_by_device,0
1767638570.5577164,login_completion,AOuT-qUmXU2TsUNvYaJvcB1N_1fwU16Y,success,557
1767638570.5617745,scan_attempt,AOuT-qUmXU2TsUNvYaJvcB1N_1fwU16Y,failed_invalid_or_expired_or_replay,0
1767638570.582954,session_created,QhkQZTthU2XfgHgeP7GtgnT0-a8UfcQS,success,0
1767638570.5868618,scan_attempt,QhkQZTthU2XfgHgeP7GtgnT0-a8UfcQS,approved_by_device,0
1767638570.5901358,login_completion,QhkQZTthU2XfgHgeP7GtgnT0-a8UfcQS,success,590
1767638570.6266627,session_created,nMZ7scRYz_maBwFxP08_k_xMvmaOPqM8,success,0
1767638570.6312912,scan_attempt,nMZ7scRYz_maBwFxP08_k_xMvmaOPqM8,approved_by_device,0
1767638570.63477,login_completion,nMZ7scRYz_maBwFxP08_k_xMvmaOPqM8,failed_browser_binding_mismatch,0
